assignment_id,name,release_date,due_date,late_due_date,submissions_status,grade,max_grade,course_name,course_code,course_id
7418602,Problem Set 01,2026-01-12 11:00:00-05:00,2026-01-21 23:59:00-05:00,2026-01-23 23:59:00-05:00,Submitted,40.5,44.0,Matrices and Linear Transformations,21241,51636
7502356,Problem Set 02,2026-01-24 00:00:00-05:00,2026-01-28 23:59:00-05:00,2026-01-30 23:59:00-05:00,Submitted,39.5,40.0,Matrices and Linear Transformations,21241,51636
7552122,Problem Set 03,2026-01-31 00:00:00-05:00,2026-02-04 23:59:00-05:00,2026-02-06 23:59:00-05:00,Submitted,41.0,42.0,Matrices and Linear Transformations,21241,51636
7646019,Problem Set 04,2026-02-11 11:00:00-05:00,2026-02-18 23:59:00-05:00,2026-02-20 23:59:00-05:00,Submitted,41.0,42.0,Matrices and Linear Transformations,21241,51636
7648653,Exam 1,,,,Submitted,46.0,60.0,Matrices and Linear Transformations,21241,51636
7698478,Problem Set 05,2026-02-21 00:00:00-05:00,2026-02-25 23:59:00-05:00,2026-02-27 23:59:00-05:00,Submitted,41.0,42.0,Matrices and Linear Transformations,21241,51636
7735973,Problem Set 06,2026-02-28 00:00:00-05:00,2026-03-11 23:59:00-04:00,2026-03-13 23:59:00-04:00,Submitted,40.0,40.0,Matrices and Linear Transformations,21241,51636
7849774,Problem Set 07,2026-03-18 11:00:00-04:00,2026-03-25 23:59:00-04:00,2026-03-27 23:59:00-04:00,No Submission,,,Matrices and Linear Transformations,21241,51636
7436543,Math Assessment,2026-01-12 00:01:00-05:00,2026-01-16 23:59:00-05:00,,Submitted,,,Probability and Statistical Inference II,36236,52447
7484963,Homework1,2026-01-17 01:28:00-05:00,2026-01-22 23:59:00-05:00,2026-01-23 23:59:00-05:00,Submitted,96.5,100.0,Probability and Statistical Inference II,36236,52447
7529246,Homework2,2026-01-24 07:35:00-05:00,2026-01-29 23:59:00-05:00,2026-01-30 23:59:00-05:00,Submitted,95.0,100.0,Probability and Statistical Inference II,36236,52447
7575873,Homework3,2026-01-31 03:59:00-05:00,2026-02-05 23:59:00-05:00,2026-02-06 23:59:00-05:00,Submitted,99.0,100.0,Probability and Statistical Inference II,36236,52447
7622377,Homework4,2026-02-07 04:03:00-05:00,2026-02-12 23:59:00-05:00,2026-02-13 23:59:00-05:00,Submitted,99.0,100.0,Probability and Statistical Inference II,36236,52447
7710445,Exam1,,,,Submitted,81.5,100.0,Probability and Statistical Inference II,36236,52447
7714129,Homework5,2026-02-20 16:49:00-05:00,2026-02-26 23:59:00-05:00,2026-02-27 23:59:00-05:00,Submitted,98.5,100.0,Probability and Statistical Inference II,36236,52447
7786908,Homework6,2026-03-05 09:59:00-05:00,2026-03-12 23:59:00-04:00,2026-03-13 23:59:00-04:00,Submitted,100.0,100.0,Probability and Statistical Inference II,36236,52447
7832515,Homework7,2026-03-14 04:58:00-04:00,2026-03-19 23:59:00-04:00,2026-03-20 23:59:00-04:00,Submitted,,,Probability and Statistical Inference II,36236,52447
